Date,Temperature_Max (°C),Temperature_Min (°C),Humidity (%),Rainfall (mm),PM2.5 (µg/m³),PM10 (µg/m³),NO2 (µg/m³),Seismic Activity (Richter),Wind Speed (km/h),Visitors,Biological Growth (%),Soil Erosion (mm/year)
11-02-2000,42.1,19.4,53.4,136.3,97.4,145.7,15.7,2.4,9,279,39.8,2.61
12-02-2000,35.6,29.5,47,199.8,16.9,161.7,21.9,4.1,25,569,32.9,1.11
13-02-2000,33.6,19.9,52,137.5,125.3,117.9,61.3,2.6,13.6,702,23.3,2.73
14-02-2000,41.6,26.9,80,284.4,25.4,63.7,16.6,4.1,5.4,980,43.2,2.77
15-02-2000,38.9,22.7,47.7,195.1,91.2,145.3,10.6,4.2,24.2,760,38.8,2.92
16-02-2000,44.3,28.5,68,58.3,104.4,150,72.6,2.6,29.6,479,33.3,2.51
17-02-2000,40.9,19.6,64,77.6,48.9,63.7,25.1,3.4,17.5,964,29.2,1.69
18-02-2000,27.7,28.2,56.2,273.5,77,138.9,33.3,4.8,16.2,299,23.8,1.91
19-02-2000,29.1,18.6,66.4,285.5,94.9,75.8,10.6,3.2,13,555,14.3,2.59
20-02-2000,30.4,19.8,78.3,222.3,110,39.6,63,5.7,27.6,200,29.7,2.56
21-02-2000,25.2,16.5,53.3,41.7,44.2,169.7,34.6,3.9,18.2,428,26.5,0.67
22-02-2000,35.7,29,64.4,242.7,67,119.7,68.4,2.2,11.3,819,24,1.82
23-02-2000,36.1,17.7,80.9,173.4,131,152.4,47.9,4.9,10,141,11.2,1.28
24-02-2000,40.9,29.5,82.4,56.6,29.7,44.4,48.6,5.3,22.7,894,39.4,2.28
25-02-2000,39.2,16,60.6,77.2,65.6,87.7,72.2,3.8,12.4,206,5.3,1.48
26-02-2000,27.9,23.3,56.3,50.7,15.1,187.8,15.1,4.7,29.3,988,11.8,2.53
27-02-2000,39,21.2,63.4,122.8,71.7,79.9,37.2,3.9,28.4,786,27.5,1.52
28-02-2000,29.2,26.5,83.6,135.3,12,71.6,31.6,2.6,17.2,837,5.5,1.81
29-02-2000,34.8,19.8,73.3,56.2,51.4,59,14.2,2.5,24.9,589,18.7,1.59
01-03-2000,30.7,26.8,41.9,278.7,20.6,25.2,52.2,5.2,22.4,712,16.3,1.16
02-03-2000,27.5,25,85.1,82.6,19,192.8,30.5,5.2,23.2,961,29.1,1.92
03-03-2000,41.7,21.5,64.9,164.7,84.9,115.1,18.3,4.4,9.7,392,6.8,2.24
04-03-2000,28,28.1,86.8,72.4,122.6,191,78.9,5.3,18.3,818,48.7,1.52
05-03-2000,44.4,17.9,41.1,224.5,52.4,150.2,76.3,4.6,13,873,21.4,1.44
06-03-2000,27.6,28.7,72.8,142.4,70.7,54.9,41,4.9,25.3,144,23,1.83
07-03-2000,34.1,18.3,44.1,115.1,143.3,125.8,55.7,4.8,11.9,459,28,0.93
08-03-2000,25.5,26.1,80.8,234.9,100.2,183.5,37.1,3.7,28.5,975,38.4,1.29
09-03-2000,36.4,19.2,46.7,241.4,10.5,156,48.6,4.7,26.9,984,25,2.61
10-03-2000,42.9,29.4,61.7,36.9,132.5,25,71.3,4.6,20.2,305,15.2,0.55
11-03-2000,31.9,17.6,60.2,281.9,27.7,83.6,68.2,3.8,12.7,585,27.3,1.16
12-03-2000,34.4,24.7,89.4,148,48.8,41.1,59,5.1,9.5,204,35.2,1.61
13-03-2000,39.8,17,42.7,271.5,31.9,22,69.1,4.9,12.6,411,5.9,1.25
14-03-2000,41.9,17.4,81.2,118.8,36.6,115.6,36.8,2.4,30,809,23.9,1.81
15-03-2000,29.2,17.6,40.9,73.1,109.7,132.9,47.9,3.1,26.5,424,33.4,0.62
16-03-2000,44.7,27.5,50.2,96.4,84,180.5,43.7,5.8,14.3,995,9.6,2.57
17-03-2000,39.2,29.9,81.1,57.3,129.3,65.4,28.4,5.4,8.9,459,29.7,0.85
18-03-2000,27.2,16.5,75.4,296.6,72.5,160.9,31.3,5.4,12.7,437,42.2,2.94
19-03-2000,28.5,21.3,53.2,198.9,144.5,55.4,27.8,3,29.8,262,41.4,2.73
20-03-2000,40.1,21.3,47.5,196.7,84.3,31.6,48.1,4.4,15.6,921,33,2.35
21-03-2000,30,17.1,47.8,152.4,26,198.9,36.5,5.6,27.9,860,12.4,0.99
22-03-2000,34.7,27.3,49.4,206.2,126.4,35,61.9,2.8,22.2,583,37.9,2.58
23-03-2000,44.7,24.2,41.6,21.4,97.3,99.8,17.2,3.2,21,363,20.2,2.69
24-03-2000,35.3,20.6,85.9,279.8,38.9,92.2,37.7,3.1,23.2,484,17.9,0.58
25-03-2000,42.7,22.8,75.5,19.8,77.9,70.7,49.1,3.6,9.9,204,49.7,0.9
26-03-2000,33.1,19.4,65.3,19.4,84.6,57,71.8,5.8,10.1,894,30.8,2.53
27-03-2000,32,21.6,74,124.2,115.1,185.5,36,5.4,29.1,220,33.5,1.23
28-03-2000,36.6,28.5,84.5,222.1,16.8,38.4,19.3,3.2,19.8,674,43.9,0.63
29-03-2000,40.9,18.6,41.9,153.2,73.6,140.9,46.4,3.3,17.9,756,42,1.93
30-03-2000,26.1,19.4,72.2,23,12.3,164.7,35.1,5.7,5.4,488,33.9,1.36
31-03-2000,44.3,24.9,87.3,138,85.9,168.2,22.1,4.2,28,333,18.2,1.27
01-04-2000,36.5,15.7,79,21.7,132.3,37.8,48.7,4.3,19,541,13.4,1.86
02-04-2000,39.7,16.4,69.6,112.8,41.7,67.5,23.7,5,7.8,371,35,1.15
03-04-2000,38,20.6,62.6,152.4,132.9,169,42.2,5.5,13.1,551,7.5,0.83
04-04-2000,38.4,17.7,62.1,94.9,111.7,62.6,29,4,12.5,480,22.2,2.63
05-04-2000,33.2,20.3,76.1,54.8,119.7,190.5,41.5,3.6,17.8,625,10.6,1.13
06-04-2000,40.5,15.1,82.4,179.1,129.8,44.2,23.8,2.6,7.7,327,18.3,1.39
07-04-2000,34.1,30,86.6,210.8,102.9,36.8,60.6,2.6,8.5,197,11.3,1.75
08-04-2000,38.1,26.1,49.4,127.2,11.8,90.8,43.5,3.7,30,203,39.1,2.27
09-04-2000,38.8,20.7,80,176.4,111.7,68.3,21.1,2.5,27.3,807,6.1,2.91
10-04-2000,34.4,18.8,87.9,164.7,21.4,94.1,49,2.6,19.5,183,8.8,1.68
11-04-2000,37.5,16,54.1,3.1,74.4,194.7,39.9,2.4,22.7,226,9.1,1.59
12-04-2000,42.5,29.4,87.3,299.7,143.3,53.3,37.6,2.9,6.4,992,28.1,2.51
13-04-2000,25.6,18,69.6,236,108,71.4,21.9,2.6,30,867,21.1,1.87
14-04-2000,27.9,18.8,64.7,176.3,23.8,61.1,57.7,5.1,5.4,583,21.8,0.87
15-04-2000,28.3,21.9,73.7,21.9,102.9,71.5,68.7,3.4,25.8,395,46.9,2.54
16-04-2000,27.8,16.5,63.1,146.7,137.1,46,67.6,2.2,13.1,291,37.4,1.32
17-04-2000,42.6,16.2,81.5,200.9,98.7,190.5,65.4,2.1,12.1,758,29.4,1.38
18-04-2000,27.4,27.2,88.2,215.9,54.3,75.3,36.5,5.5,7.8,838,18.7,1.36
19-04-2000,33.6,18.4,56.9,79.3,94.8,173.3,58.8,4.7,26.2,524,6.3,0.6
20-04-2000,28.9,25,69.7,277.9,70.5,136.6,25,3.2,5.1,982,32.3,1.29
21-04-2000,44.7,27.9,69.7,228.3,35,55.7,58.9,4,17.5,113,29,2.37
22-04-2000,31.7,16.9,48,77.2,124.5,75.7,21.5,4.4,18.2,286,20.2,1.88
23-04-2000,32,27,88.5,291,89.7,67.6,49.1,4.3,16,144,21.1,1.51
24-04-2000,40.3,17,61.5,167.1,61.3,183.8,60.6,5,27.7,805,29.8,2.45
25-04-2000,37,25.8,59.1,231.2,134.7,143.8,42.3,3.9,7.5,876,35.3,1.35
26-04-2000,33,30,83,232,42.8,165.8,50.6,4.1,12.2,786,8.1,2.58
27-04-2000,27.6,21.7,64.7,175.6,16.4,79,27.3,2.4,17.8,103,45.4,0.85
28-04-2000,26.9,23.8,72.7,47.1,65.5,57.8,59.2,3,9.9,908,49.5,1.2
29-04-2000,34.2,17.1,64.5,190.3,77.3,94.5,47.4,5.7,22.3,304,21,2.51
30-04-2000,35.5,26.1,58,187.7,113.2,85.2,25.4,4.4,21.8,234,9.1,2.13
01-05-2000,36.4,28.2,53.5,133.5,127.1,57.9,70.2,2.6,28.8,506,13.1,1.41
02-05-2000,34.8,19.9,63.9,177.9,63.8,79.3,25.8,4,12.6,651,47.9,0.91
03-05-2000,38.1,15.9,81,227.1,139.6,182.8,68.8,5.6,23.9,137,19.7,2.15
04-05-2000,26.1,25.4,82.4,68.7,41.4,103.6,47.3,3.1,24.8,530,20.9,2.35
05-05-2000,37.7,17.9,76.7,46.1,47.5,38,39.5,2.3,5.9,880,44.3,2.71
06-05-2000,38.2,22.4,58.4,173.7,147.8,135.3,31.5,4.4,26.8,627,28,1.72
07-05-2000,44.9,15.7,41.4,293.8,86.3,75.9,37,3.5,15.4,713,15,2.36
08-05-2000,42.2,22.4,52.7,268,68.9,152.3,30.8,2.5,20.2,300,33.8,2.58
09-05-2000,26.2,25,84.8,78.3,121.3,50.3,51,3.2,29.7,758,47.3,1.92
10-05-2000,33.7,20.1,57.6,195.2,92.9,176.5,51,2.4,20.4,317,34.3,2.13
11-05-2000,35.4,26.6,44.3,225.2,31.9,61.6,72.9,2.4,15,509,36.1,1.22
12-05-2000,29.1,16.5,64.5,154.5,31,87.8,73,2.1,10.7,834,34.7,2.11
13-05-2000,40,25.4,67,105.4,146.2,51.5,41.2,4.6,18.9,759,37.4,2.46
14-05-2000,26.1,25.5,43.4,187.3,118.7,21.5,12.4,4.3,5.2,521,36.6,2.94
15-05-2000,37.5,16.7,49.5,2.3,10.1,147.5,42.2,5.6,11.9,292,11.5,1.17
16-05-2000,27.6,23,46.3,278.8,133.8,149.8,46.3,2.1,22,240,45.3,0.7
17-05-2000,36.5,20.6,55.7,255.5,71.1,87.8,48.7,3.1,16.6,308,46,1.1
18-05-2000,31.4,25.3,56,200.9,15.9,34.1,25,2.8,13.1,671,24.1,0.97
19-05-2000,27.4,23.4,58.2,81,34.1,185,24,2.3,21.9,760,29.6,1.63
20-05-2000,37.7,15.2,52.2,175,31.4,156.9,26.6,3,25.2,201,34.4,1.67
21-05-2000,42.7,29.5,43.8,53.1,34.4,132.9,38.2,4.4,23.5,419,32.9,1.9
22-05-2000,44.8,25,43.2,289.3,19.1,116.4,42.2,2.1,25.4,582,7.5,1.96
23-05-2000,36.8,17.3,57.8,276.1,46.2,42.2,12.8,5.5,27.7,846,48,1.95
24-05-2000,31.9,22.1,47,148.8,83.7,143.5,32.4,3.2,15.4,625,18.8,1.16
25-05-2000,26.3,15.9,67.4,209.4,26.7,117.6,36.7,2.1,10.5,488,22.9,2.55
26-05-2000,43.7,27.4,70.9,152.6,22.3,108.6,65.2,3.1,26.4,676,15.1,1.47
27-05-2000,42.5,15,44.2,55,125.4,87.6,24.5,5.1,16.2,138,19.6,1.72
28-05-2000,37.5,19.2,73.3,261.1,131.1,73.9,22.5,3.2,24.1,482,35.3,1.6
29-05-2000,28.4,26.1,68.7,122,95,196,42.4,5.3,20.8,627,8.1,1.44
30-05-2000,42.5,16.1,82.4,225.4,121.7,124.5,74.2,4.3,22,977,47.3,2.41
31-05-2000,34.8,27.6,67.1,143.7,102.6,100.4,41.3,5.8,16.1,154,43.3,2.65
01-06-2000,41,21.3,72.4,114.3,77.4,74,20.5,2.2,13.4,595,45.8,1.32
02-06-2000,32.2,25.3,66,115,120.7,144.6,76.7,2.7,5.5,732,38.4,2.17
03-06-2000,33.2,16.2,49.2,142.1,72.6,135.4,15.7,3.1,27.9,979,44.8,2.1
04-06-2000,29.5,22.3,57.7,108.3,128.9,105.9,42.7,4.2,28.1,963,32.1,2.07
05-06-2000,27.4,20.3,59.6,12.5,87.3,135.3,55.1,3.6,8.5,464,24.6,2.59
06-06-2000,32.9,18.2,75.3,61.6,126,173.8,11.3,5.6,7,921,35.3,1.75
07-06-2000,40.4,16.4,59.8,47.2,55.7,61.1,17.4,3.7,26,388,7.2,1.64
08-06-2000,31.6,20,57.6,181,40.4,41.3,45,4.7,6.2,712,26.2,0.85
09-06-2000,33.2,20.6,61.9,270,80.1,84.3,28.4,5.1,9.2,655,11,1.43
10-06-2000,31.5,17.6,62.4,0.7,88.7,166.7,42.5,4.1,5.2,285,15.2,1.07
11-06-2000,32.6,23.3,60.5,272.7,65.5,45,35.8,3.8,25.9,828,9.2,2.47
12-06-2000,27.1,24.8,88,15,44.9,140,26.9,3.8,11.2,966,8.1,2.04
13-06-2000,42.3,26.6,69.5,279.1,64.1,66.1,18.7,5.1,11.1,480,21.8,2.53
14-06-2000,30.1,27.4,57.9,52.3,74.5,74.9,44.7,3.2,29.8,149,28.6,1.43
15-06-2000,26.5,27.4,50.3,202.8,37.9,92.3,16.2,4.4,13.6,497,26,0.54
16-06-2000,27.7,20.9,45.4,203.8,23,174.3,65,3.3,11.3,136,33.1,2.66
17-06-2000,34.2,19.2,53.4,86.4,56.4,79,63.3,4,20.1,625,25.6,2.31
18-06-2000,31,29.9,64.6,197.3,34.6,67,76.5,3.9,6.8,466,19.5,1.16
19-06-2000,43.5,19,79.3,138.2,91.9,52.8,63.6,2.1,21.2,597,49.5,1.73
20-06-2000,40.2,26.1,62.8,6.6,76.5,80.4,42.9,3.2,24.6,665,39,0.93
21-06-2000,30.5,25.5,63.3,109.4,88.2,23.2,61.3,4.1,18,475,22.7,2.53
22-06-2000,37.3,15.1,49.8,238.3,32.5,74.7,79.3,3.8,13.5,314,33.3,1.46
23-06-2000,29.2,20.4,47.6,187.9,17.8,192.9,53.6,3.8,21.3,699,8,2.48
24-06-2000,28.6,16.7,83.4,195.4,27.9,40.2,55,2.6,24.6,486,31.3,1.71
25-06-2000,37.9,21,47.1,154.8,54.6,24.2,74.3,4,27.4,289,17,2.79
26-06-2000,38.7,29.5,79.8,258.6,134,39.5,13.7,3.4,26.4,747,41,0.64
27-06-2000,30.6,25.7,84.4,75.7,37,101.2,35.9,2.6,12.3,461,11.9,2.04
28-06-2000,27.4,21.2,89.4,284.2,121.3,162.7,20.9,5.2,9,147,35.7,1.52
29-06-2000,42.6,27.4,54.5,214.8,66.9,65.4,33.9,3.5,5.6,309,39.4,1.03
30-06-2000,29.6,16.4,69.8,249.1,115.9,106.4,78.1,2.8,11.1,676,48.4,2.02
01-07-2000,27,15.3,78.9,209.9,113.8,105.5,38.3,2.3,8.3,204,30.5,2.43
02-07-2000,38.7,29.6,88.9,147.4,30.7,95.6,76.3,3.6,26.2,559,23.2,1.71
03-07-2000,43.9,23.5,70.6,15.2,18.2,94.2,41.1,5.6,16.8,721,31.4,1.57
04-07-2000,31,24.5,85.5,174.2,73.1,103.8,52.2,5.8,29,241,39,1.78
05-07-2000,44.1,22.4,78.9,209.3,46.3,89,18.7,5.7,29.8,958,19.9,1.97
06-07-2000,40.5,23.6,40.1,281.7,18.7,110.3,49.1,3.5,12.8,100,16.7,2.59
07-07-2000,39.6,21.1,63.2,14.7,137,22.3,68.5,2.9,24.7,542,45.7,0.55
08-07-2000,38.4,23.3,65,171.3,23.3,30.1,16.9,4,27.3,651,43.1,1.36
09-07-2000,38.3,18.6,58.4,184,133.1,180.6,49.3,3.8,19.7,241,28.6,2.62
10-07-2000,25.5,20.3,52.9,200,46.9,48,29.4,4.8,15.5,268,5.4,2.47
11-07-2000,42.9,27.8,67.3,68.3,48.1,191.7,51.9,5.2,29.2,528,45.2,2.68
12-07-2000,31.4,27.7,49.9,157.4,149.7,190,51.9,3.5,18.6,956,18.4,1.66
13-07-2000,38.1,21,70.3,40.8,68.8,53.7,57.2,4,9.8,450,6.7,1.43
14-07-2000,40.1,21.4,41.1,148.3,149.1,163.1,49.4,2.3,9.4,115,27.7,1.82
15-07-2000,41.8,18.6,46.9,245.3,29.7,199.7,31.9,2.8,24.4,106,44.1,0.77
16-07-2000,35.8,27.5,56,135.1,118,35.3,55.1,5.6,11.5,544,24.7,1.81
17-07-2000,40.5,18.9,78.3,296.9,77.7,27,19.2,4.6,9.7,980,9.4,1.46
18-07-2000,42.5,22.6,47.4,135.8,100.3,199,48.5,5.9,19,377,48.7,1.13
19-07-2000,43,17.2,47.8,266.1,10.5,194,78.5,3.3,28.5,355,38.2,2.07
20-07-2000,32.1,28.9,70,42.9,59.9,196.2,29.7,4.7,8.5,372,17.2,2.85
21-07-2000,29.6,17.8,49.3,287.8,128.2,24.5,17.7,2.9,21.4,216,5.8,1.25
22-07-2000,27.7,28.1,45.5,100.1,80.7,110.6,77,5.9,19.1,357,36.2,0.65
23-07-2000,44.1,16.3,70.8,287.2,95.7,69.5,43.1,3.9,22.5,365,12.9,2.26
24-07-2000,43.9,24,43.2,19.1,117,110.7,59.6,3,9.1,988,28.5,1.12
25-07-2000,32,22.6,47.7,286.4,33.2,54.3,18.7,4.2,22.7,409,7.7,2.15
26-07-2000,25.1,29.1,85.9,155.9,97.8,135,19.8,3.3,29.2,420,21.9,1.59
27-07-2000,43.8,27.1,75.3,131.9,55.3,85.3,33.6,5.9,19.9,288,45,0.55
28-07-2000,35.5,17.5,49.7,131.9,102.2,187.9,44.4,5.4,17.8,527,9.7,1.9
29-07-2000,34.4,15.2,73.9,87.7,92.7,132.2,33.5,5.9,6.3,477,26.6,0.7
30-07-2000,27.7,18.6,65.1,58.3,75.1,169.9,23.1,4.5,22.8,951,7.1,2.34
31-07-2000,40.6,25.8,59.8,133.9,31.6,182.5,30.6,3.6,25.2,358,29.3,1.16
01-08-2000,27.1,19,44.3,275.5,84.5,122.8,32,5.9,11.5,415,32.9,2.38
02-08-2000,37.9,22.3,73.7,43.2,46.9,75.2,69.1,3.8,23.9,696,33,1.29
03-08-2000,36.1,16.7,57.5,224.7,74.2,64.7,30.2,3.1,25.4,791,41.8,0.8
04-08-2000,39.5,29.7,83.2,284.5,133.9,59.3,14.7,2.9,15.3,300,38.5,2.25
05-08-2000,34.7,26.5,76.4,81.9,18.3,85.9,23.4,2.1,15.7,165,28.9,1.01
06-08-2000,35.8,21.6,68.3,226.1,47.2,79.2,79.7,5.2,15.9,977,25.4,1.16
07-08-2000,32.6,26.6,73.7,133.1,93,120.8,66.4,3.4,9.4,383,27,0.73
08-08-2000,31.7,28.8,67.4,21.2,18.5,63.9,48.8,3.8,19.6,457,30.6,1.77
09-08-2000,42.5,26.6,81.6,88.9,20.3,180.9,20.6,2.8,10.9,329,20.7,1.76
10-08-2000,38.7,16.5,47.1,131.8,83.1,60,12.3,5.5,10.3,492,14.4,2.75
11-08-2000,27.9,20.6,46.4,1.8,125.7,185.8,24.9,2.2,24.5,537,26.2,2.54
12-08-2000,44.4,25.8,44.7,256.6,135.3,140.7,64.2,3.3,18.1,944,42.9,2.18
13-08-2000,30.7,28.3,77.6,141.2,86.7,44.2,65,2.7,15.8,449,17.2,2.19
14-08-2000,33.1,18.2,66.3,217.2,124,69.6,58.7,2.3,11.3,280,13.9,2.61
15-08-2000,33.1,20.1,55.6,225.6,65.2,69.3,22.4,4.5,9.9,176,30.9,1.63
16-08-2000,35.2,16.1,85.4,194,77.4,129.1,16,4,8.6,275,16.5,2.16
17-08-2000,27,18,74.2,221.4,104.2,173.2,17.5,4.2,13.7,862,5.7,1
18-08-2000,33.5,17.6,52.3,79.7,101,180.2,18.2,2.2,13.7,216,18.7,2.5
19-08-2000,29.6,17.3,62,4.6,95.4,127.6,54.5,3.7,21.9,104,6.8,2.2
20-08-2000,36.2,19.8,46.4,246.9,127.8,46.3,71,2.5,16.1,622,36.5,2.64
21-08-2000,30.4,29.1,42.2,87.6,70.3,137,61.4,4.7,6.9,424,19.1,1.5
22-08-2000,42.4,15,87.1,24.2,111.2,168.1,70.9,5.9,24.7,107,20.4,0.86
23-08-2000,29.5,16.7,68.3,127.7,106,149,51.2,4.8,12.3,839,10,0.89
24-08-2000,26.8,23.3,47.9,266.1,96,112.7,53.7,4,12.8,484,26.3,0.8
25-08-2000,43,19.7,56.3,84.5,114.6,159.8,71.9,2.3,24.5,546,9.8,2.81
26-08-2000,35.7,20.3,80.1,103.1,145,91.6,59.3,5.8,18.7,695,15.3,1.7
27-08-2000,41.3,24.8,67.9,2.1,53.5,25.4,58.3,4.1,6.6,225,43.9,2.53
28-08-2000,42.9,28.3,43.2,161.6,118.9,134,55.5,2.8,18.9,696,33,2.11
29-08-2000,40,22.2,58.4,183,59,153.5,13.4,3.5,23.8,516,24.7,0.59
30-08-2000,37.9,21.4,73.3,22.1,141.6,118.2,74.9,4.9,6.4,790,18.1,2.18
31-08-2000,27.6,24.9,57.2,220.3,73.1,167.2,72.2,4.7,12.1,483,20.6,0.85
01-09-2000,26.7,25,58,204.3,138.3,100.2,42.4,2.2,19.2,890,41.2,2.05
02-09-2000,30.7,25.7,74.4,163.3,31.4,199.9,46.8,2.1,29.1,363,49.8,2.95
03-09-2000,37.8,17.7,70,35.5,13.2,23.3,10.5,4.5,29.1,687,7.2,1.71
04-09-2000,36,21.9,68.3,134.8,122.3,147.1,46.9,2.9,13.9,791,8.9,0.71
05-09-2000,36.7,20.7,86.1,11.1,108.1,31.6,75.6,5,12.3,686,24.6,2.61
06-09-2000,43.4,17.4,86.7,238.6,56.7,82.4,72.1,2.9,26.5,671,41.5,0.72
07-09-2000,35.7,19.3,75.3,127,129.5,147.6,70.2,3.1,28.7,411,17.7,1.19
08-09-2000,39.8,19.8,64.9,51.4,55.5,105.2,47.3,4.5,11.4,800,9.5,1.72
09-09-2000,33.7,17.6,69.7,144.7,35.6,191.4,29.4,2.2,23.1,932,23.5,0.65
10-09-2000,32.8,19.4,67.8,16.4,134.1,158.2,21,2.1,16.2,624,43.2,0.86
11-09-2000,35.5,27.7,67.5,275,25.4,39.3,53.4,3,24.3,466,34,0.77
12-09-2000,42.1,18,70.8,235.2,58,174.3,76.4,2.2,28,679,27.7,1.57
13-09-2000,39.4,22,88.1,23.1,26.8,162,40.6,2.2,26.5,455,44.1,2.92
14-09-2000,35.7,15.4,64.9,276,108.4,25.1,55.9,4.4,25.8,279,49,2.39
15-09-2000,38.5,17.1,47.1,44.4,119.9,96.6,18.7,4.7,14.6,586,46.9,1.42
16-09-2000,40,23.6,78.2,232.8,97.7,97.5,45.7,3.8,5.1,864,45.2,2.65
17-09-2000,35.8,20.3,80.5,11.8,20.9,90.3,41.8,2.6,14.8,677,13.3,1.2
18-09-2000,42.5,15.7,51.2,146.6,73.9,77.4,54.9,4.5,10.8,747,27.9,0.64
19-09-2000,38.5,16.5,44.6,63.3,62.7,173,37.3,3.8,21.7,348,24.9,0.76
20-09-2000,33.8,24.2,58.8,117.6,30.8,166.8,64.2,4.9,5.3,317,14.5,0.6
21-09-2000,37.5,20.1,73.8,171,65.2,160.4,63.3,5.9,8,159,7.2,0.51
22-09-2000,26.9,24.9,53.3,85.5,41.1,101.2,23.2,2.3,8.9,942,13.1,1.6
23-09-2000,30.6,24.5,57.5,121.4,110,39.1,27.7,2.6,15.8,303,19.8,1.99
24-09-2000,32.1,23.5,49.4,145.1,116.7,28.9,34.4,3,17.1,131,28.8,2.42
25-09-2000,40.9,18.6,59.2,232,132.3,41.3,72.9,3.8,12.5,555,6.3,2.96
26-09-2000,36.6,25.5,77.1,94.7,36.3,28.1,73.4,5.9,16.1,607,49.6,2.7
